MIR_ID	Rcc1_miR_prog	Rcc10_miR_nonprog	Rcc11_miR_prog	Rcc12_miR_nonprog	Rcc13_miR_nonprog	Rcc15_miR_nonprog	Rcc16_miR_nonprog	Rcc17_miR_nonprog	Rcc18_miR_nonprog	Rcc19_miR_nonprog	Rcc2_miR_prog	Rcc20_miR_nonprog	Rcc21_miR_nonprog	Rcc22_miR_nonprog	Rcc23_miR_nonprog	Rcc3_miR_prog	Rcc4_miR_nonprog	Rcc5_miR_prog	Rcc7_miR_nonprog	Rcc8_miR_prog	Rcc9_miR_prog
miR-4258-5p	14	1	3	3	10	1	5	0	0	3	3	2	6	2	7	2	0	1	1	8	6
miR-410-3p	14	21	21	0	6	16	2	22	28	44	13	1	27	10	4	3	31	81	0	0	0
miR-7706-3p	14	37	47	20	39	29	24	47	37	49	41	12	43	40	33	29	25	65	26	34	34
miR-668-3p	14	11	17	8	11	3	9	8	7	7	4	0	9	6	16	11	8	19	7	7	11
miR-1912-5p	14	2	0	0	0	0	0	5	1	0	0	0	8	0	3	0	0	0	0	0	0
miR-548h-1-3p	14	10	6	10	4	9	2	5	2	8	2	1	6	3	6	8	6	7	4	5	12
miR-4428-3p	14	5	2	0	12	1	0	1	1	2	2	0	0	0	3	0	1	7	0	0	5
miR-128-1-3p	14	1350	459	70	592	413	295	841	653	656	407	43	586	178	348	201	148	718	130	15	71
miR-11399-3p	14	1	0	0	0	4	2	4	0	1	0	0	0	6	0	5	0	0	0	0	0
miR-6766-5p	14	0	1	3	0	0	0	1	0	0	2	8	2	0	2	1	0	2	1	1	2
miR-595-3p	13	2	3	5	3	9	1	8	0	2	5	1	2	5	0	0	0	1	2	1	2
miR-4498-3p	13	3	2	6	0	4	3	10	0	0	0	0	2	7	3	3	28	8	6	14	4
miR-4296-5p	13	3	3	20	8	11	19	4	11	8	10	43	10	8	8	5	1	0	18	37	22
miR-4773-2-5p	13	35	17	24	3	20	4	49	15	17	24	16	16	14	11	14	14	9	32	7	17
miR-4316-5p	13	5	3	3	2	1	4	5	3	0	1	3	10	0	7	3	0	8	3	4	0
miR-4438-5p	13	0	0	2	6	7	0	3	1	0	4	3	1	0	3	0	0	0	2	7	4
miR-4714-3p	13	4	3	4	0	1	1	2	5	2	9	3	0	2	5	1	3	3	10	11	6
miR-4791-5p	13	224	123	86	177	97	134	332.5	204	157	384.5	6	173	61	190	159	65	214	132	8	36
miR-4673-3p	13	3	0	2	1	2	0	1	2	0	4	3	0	1	0	0	0	0	0	3	0
miR-3165-5p	13	0	1	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	3	1	0
miR-6722-5p	13	4	4	4	11	0	1	9	13	6	6	70	24	16	12	7	0	8	4	20	27
miR-6785-5p	13	1	0	2	3	0	1	1	0	3	0	0	0	0	2	0	10	1	2	4	1
miR-3605-5p	13	8	6	2	5	6	2	0	9	16	9	0	1	7	12	3	0	1	0	3	0
miR-5699-5p	13	8	8	0	6	5	18	2	3	12	2	0	5	0	7	4	0	14	4	0	7
miR-133a-1-3p	13	253	273	156	104	200	113	202	810	504	276	77	569	104	306	34	705	294	97	19	19
miR-425-5p	13	1124	984	144	1026	1641	636	1311	2025	1284	522	25	1229	372	553	247	348	1542	132	13	177
miR-6088-3p	13	3	4	1	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0
miR-105-1-3p	13	4	6	0	9	0	0	3	7	1	19	0	8	2	2	0	0	0	6	2	0
miR-3978-5p	13	4	11	7	6	9	2	1	4	3	7	0	5	1	5	6	0	7	0	0	0
miR-133b-5p	13	0	3	2	1	7	0	2	0	0	10	2	4	1	1	3	0	6	12	7	0
miR-1285-1-5p	13	93	82.5	71	111.5	144	48	99.5	73	62	123.5	153	127	56	70	75.5	34	102	25.5	34	69
miR-4511-5p	13	9	5	26	25	6	11	34	7	5	5	12	9	6	25	10	26	17	19	54	69
miR-4719-3p	13	2	2	11	7	0	0	0	6	5	10	0	2	0	22	1	0	6	1	0	0
miR-485-5p	12	7	6	6	9	21	1	6	47	3	3	27	14	10	20	3	0	18	10	5	0
miR-3136-5p	12	2	4	2	10	2	1	7	14	0	12	6	1	1	9	4	0	7	3	1	11
miR-6809-5p	12	8	0	9	5	7	0	5	1	3	9	5	4	0	5	8	0	10	3	4	7
miR-4523-3p	12	18	6	45	5	26	5	8	3	5	12	7	16	22	10	3	0	6	2	17	8
miR-4311-3p	12	2	3	4	2	5	4	0	1	1	3	12.5	4	9	0	1	0	1	3	0	1
miR-3619-3p	12	0	0	1	0	2	0	1	4	3	2	1	4	2	1	6	0	4	4	1	0
miR-10522-5p	12	8	14	8	3	11	10	15	20	2	13	0	7	0	16	17	8	31	18	6	23
miR-11399-5p	12	4	2	8	1	7	2	3	0	1	4	13	14	2	3	5	8	6	2	3	2
miR-1295a-3p	12	24	29	24	26	22	10	27	35	21	31	51	32	14	15	16	26	37	15	18	22
miR-6810-3p	12	13	4	4	4	16	3	4	12	9	2	7	16	6	3	3	0	1	0	3	5
miR-1343-3p	12	5	14	7	5	3	8	8	15	2	11	14	5	6	3	7	4	1	3	0	6
miR-2110-5p	12	25	22	19	67	91	27	33	50	30	23	80	55	85	18	19	3	22	40.5	48	40
miR-518f-3p	12	1	1	1	9	4	7	0	3	4	13	0	1	0	5	3	4	12	4	0	10
miR-4687-3p	12	57	16	22	19	3	3	10	53	30	5	25	67	17	21	10	8	20	10	17	14
miR-4650-2-3p	12	2	0	0	0	0	1	3	0	1	2	1	3	0	0	0	0	1	0	1	0
miR-3934-5p	12	22	9	19	9	26	8	16	20	22	8	32	23	14	11	11	5	16	5	11	22
miR-1255a-3p	12	9	0	1	2	2	3	9	2	0	0	6	3	0	4	1	0	0	0	0	0
miR-5698-5p	12	1	1	12	0	2	0	1	4	0	2	4	3	1	0	7	13	2	3	1	0
miR-6773-3p	12	0	1	0	0	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0
miR-12116-3p	12	1	2	9	2	1	2	7	4	0	3	10	1	3	4	1	0	4	7	0	2
miR-876-3p	12	3	4	9	2	7	3	2	5	2	1	2	16	0	1	0	0	0	5	12	1
miR-4667-5p	12	1	7	8	0	0	0	3	19	1	6	2	4	3	8	6	1	23	3	1	0
miR-1287-5p	12	41	25	13	21	15	17	41	39	34	27	32	33	24	23	12	6	29	13	27	11
miR-4259-5p	12	3	3	7	28	0	0	2	7	2	8	16	6	10	4	0	0	0	5	15	13
miR-1973-5p	12	0	3	0	4	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	3
miR-5091-5p	12	3	5	1	5	0	0	6	5	1	0	0	24	2	5	0	0	1	1	9	3
miR-1827-3p	12	32	16	8.666666667	33.33333333	29.66666667	26.66666667	79	30.33333333	29.66666667	37	8	25	24	23.66666667	10	0	44.33333333	3	15.33333333	28.66666667
miR-432-3p	12	4	1	0	8	0	0	6	0	3	5	0	4	0	4	4	0	5	0	0	2
miR-3148-5p	12	0	2	2	2	0	1	2	2	3	3	7	0	0	3	2	1	0	6	4	0
miR-4494-3p	12	7	1	5	0	0	10	10	3	7	0	5	3	6	6	2	1	0	0	1	0
miR-27b-5p	12	570	212	134	295	172	169	516	441	289	321	38	603	139	158	112	8	165	68	22	48
miR-8071-5p	12	0	0	3	3	0	0	0	1	0	0	0	1	0	0	4	0	4	0	0	9
miR-532-3p	12	222	62	15	43	57	34	223	217	123	86	0	204	17	55	33	12	90	7	7	26
miR-127-5p	12	23	38	6	20	48	24	17	94	64	21	14	74	20	26	7	0	61	8	19	2
miR-4660-5p	12	5	6	6	5	0	0	5	5	6	9	15	6	6	5	0	0	6	3	6	2
miR-4449-3p	12	26	34	15	24	42	9	33	55	6	22	5	42	7	17	2	9	56	15	12	28
miR-3916-3p	12	4	11	13	5	9	14	2	7	11	8	11	7	4	4	8	3	8	3	8	5
let-7g-3p	12	526	234	56	95	133	100	223	275	235	119	7	402	50	322	190	488	344	70	6	57
miR-4436b-2-3p	12	1	1	7	4	0	2	0	1	1	4	0	2	0	0	0	0	4	5	0	2
miR-6090-3p	12	8	2	14	0	17	0	7	4	0	0	9	7	6	2	3	0	7	12	2	0
miR-6080-3p	12	16	4	19	1	16	10	4	3	9	13	0	13	10	12	13	18	14	7	13	7
miR-4284-3p	12	0	4	0	3	4	0	2	0	0	4	14	3	2	1	4	0	3	5	6	7
miR-548ae-2-5p	12	71	9	7	37	0	22.5	29	40.5	67.5	25	1	22.5	9	8.5	22	3	4.5	5	0	9
miR-4267-5p	12	2	0	0	3	0	2	2	0	6	2	6	0	0	0	0	0	1	3	0	0
miR-4502-5p	12	0	1	5	1	2	4	0	0	0	0	6	2	0	0	0	0	0	1	0	6
miR-3154-5p	11	5	2.666666667	2	0	1	2	2	7	6	4	0	6	0	3	1	1	8	3	5	4
miR-1285-1-3p	11	66.66666667	30	25	40	126	31	66	26	68	60	33.33333333	51	21	18	21	22	40	32	12	16
miR-125b-1-3p	11	34	57	30	52	65	11	33	129	45	38	21	132	44	46	28	9	87	24	17	38
miR-196a-5p	11	3255	1267	127	1790	447	705	2214	1259	1286	1724	20	1358	87	970	917	288	865	29	1	51
miR-4420-5p	11	6	3	0	0	3	0	3	15	11	10	1	5	0	2	5	0	13	3	2	1
miR-4497-3p	11	12	8	21	16	25	18	11	21	17	23	4	16	15	12	25	14	28.5	16	13	38
miR-548u-5p	11	6	9	1	0	3	2	3	3	7	0	0	6	1	3	4	0	6	0	0	4
miR-6529-5p	11	0	0	0	3	0	0	0	1	5	2	0	0	0	3	3	22	0	7	0	0
miR-550a-1-5p	11	21	7	1	14	19	2	9	24	19	10	3	15	11	2	8	18	6	6	6	7
miR-139-5p	11	1377	370	95	251	240	277	833	732	1210	330	8	872	46	435	189	169	450	36	5	11
miR-12124-5p	11	4	2	3	2	1	0	1	1	0	0	0	2	2	1	0	0	0	2	0	0
miR-218-2-3p	11	9	5	0	2	0	1	0	4	0	4	2	1	0	0	0	0	0	1	0	3
miR-642a-5p	11	14.5	7.5	13	11	1	4	14	24.5	6	17	23	15	3	11	6	11	11.5	12	0	4
miR-939-3p	11	0	5	1	2	5	0	3	3	3	3	11.5	1	1	2	1	0	0	9	0	6
miR-17-3p	11	177	49	23	100	177	19	129	85	100	70	1	116	49	90	49	14	97	32	0	17
miR-4730-5p	11	2	0	1	0	0	0	0	4	3	1	13	6	2	2	10	4	2	1	0	2
miR-105-2-5p	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
miR-7154-5p	11	2	2	0	4	0	0	3	1	0	2	0	0	0	0	0	0	0	0	1	5
miR-580-3p	11	15	12	14	34	31	7	54	5	10	26	16	3	28	9	8	15	5	15	7	8
miR-4678-5p	11	5	2	0	0	11	0	0	4	5	4	5	0	0	2	1	0	0	2	0	3
miR-6765-5p	11	6	2	18	3	0	0	3	4	2	8	17	1	9	4	2	1	3	2	29	8
miR-4516	11	1	0	8	0	6	6	6	0	0	7	0	13	1	3	0	0	0	0	9	0
miR-6722-3p	11	5	0	9	9	8	0	4	5	7	1	3	2	8	3	2	4	0	3	0	5
miR-140-5p	11	2986	1679	187	1765	644	620	2210	2524	2184	1067	20	1897	172	1196	422	950	1762	112	3	48
miR-514b-3p	11	2	8	21	1	27	2	0	9	4	16	22	9	12	1	2	8	2	5	28	2
miR-921-5p	11	208	168	39	78	25	98	116	235	110	162	0	93	19	90	84	33	381	19	3	6
miR-8069-2-5p	11	14	5	1	3	2	14	3	2	0	1	0	0	9	1	5	0	3	7	12	0
miR-1199-5p	10	29	28	126	43	143	154	78	22	42	52	63	12	31	21	16	46	30	35	53	29
miR-451a	10	18033	2471	956	998	57816	10497	7330	8388	18903	2292	899	10236	5369	10978	1865	3184	21537	1783	53	2097
miR-4269-3p	10	17	14	4	26	14	3	41	13	15	22	12	17	15	8	12	9	6	18	5	8
miR-4782-5p	10	12	0	7	0	0	0	1.5	1	8	0.5	0	1	2	3	0	0	2	0	0	1
miR-564-3p	10	11	2	7	13	25	7	9	1	13	11	4	13	5	9	6	1	13	10	5	2
miR-1321-3p	10	8	2	3	3	2	13	4	6	0	5	48	6	5	3	3	0	4	10	6	16
miR-6090-5p	10	1	2	8	1	2	10	1	11	3	0	8	4	5	5	0	0	0	4	0	4
miR-9899-5p	10	2	1	0	12	8	8	8	4	5	0	9	2	1	7	8	0	7	4	6	6
miR-3944-5p	10	4	17	6	0	35	1	3	12	2	13	2	15	9	6	8	0	19	12	15	35
miR-1282-5p	10	3	3	11	0	13	7	8	0	4	1	1	6	6	1	4	23	2	15	7	0
miR-7975-5p	10	17	27	10	15	20	3	12	15	17	30	0	18	4	10	32	1	36	6	0	8
miR-506-3p	10	11	29	29	16	25	17	41	45	21	32	23	48	7	38	11	8	11	15	6	14
miR-215-5p	10	1553.5	546.5	124	632.5	366	336	2312.5	572	750.5	888.5	94.5	898.5	148	324.5	447	158.5	307	93	25	102
miR-4739-5p	10	0	2	2	0	0	0	5	3	0	0	0	0	0	1	1	0	0	1	1	1
miR-3667-3p	10	6	3	0	0	0	5	14	5	0	2	0	4	1	2	2	0	2	1	1	2
miR-103a-1-3p	10	7309.333333	4080	535	4017	4472	2171	8066	4719	6420	3199	46	6085.666667	645	1921	1798	2802	7212.333333	247	17	269
miR-601-3p	10	0	2	5	4	0	3	1	15	2	5	0	6	1	10	6	0	2	1	6	3
miR-5004-5p	10	0	1	0	0	1	0	0	2	0	0	0	4	0	1	1	0	0	0	0	1
miR-6813-3p	10	7	1	1	2	0	0	1	1	0	1	11	0	0	3	7	0	6	2	0	5
miR-4728-5p	10	4	0	4	0	0	0	2	0	0	7	1	1	0	0	0	0	0	0	0	0
miR-183-3p	10	4	13	1	11	41	7	17	3	7	4	0	4	1	5	2	0	14	0	0	1
miR-4502-3p	10	6	14	13	7	11	4	12	13	7	7	14	12	8	11	11	0	10	20	9	5
miR-3918-5p	10	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	1	3
miR-648-5p	10	6	2	2	0	0	4	0	6	0	0	8	3	5	0	1	0	3	1	8	6
miR-3175-5p	10	8	7	10	8	13	14	2	3	2	8	18	3	4	11	1	0	6	1	23	7
miR-4780-5p	10	54	66	49	45	52	28	33	41	64	23	37	81	40	51	28	33	30	10	27	31
miR-3914-2-5p	10	1	4	4	0	0	0	0	0	2	1	3	0	0	0	0	0	2	0	0	0
miR-4635-3p	10	3	3	9	9	2	0	1	0	9	7	10	1	2	5	9	0	7	7	9	12
miR-760-3p	10	11	12	13	32	10	11	24	11	18	5	22	38	8	5	14	0	34	12	2	27
miR-219a-1-3p	10	18	8	14	0	13	3	15	7	5	23	15	16	10	15	6	0	9	7	5	8
miR-8077-3p	9.5	11	2	3	4	0	2	0	13	5	6	17	14	8	15	7	0	2	2	8	47
miR-6084-3p	9	1	0	2	2	4	0	1	9	4	0	14	3	6	2	0	14	1	0	1	7
miR-617-3p	9	2	2	3	1	1	0	0	0	3	0	0	6	0	2	0	1	0	0	0	1
miR-1272-5p	9	11	7	6	18	21	12	39	3	7	1	1	6	0	7	9	8	6	7	1	17
miR-603-5p	9	7	3	1	8	2.777777778	0	13	7	0	4	15	8	10	1	1	0	7	5	6	17
miR-1228-3p	9	29	17	5	27	0	8	21	8	16	14	15	13	4	7	7	1	51	5	0	0
let-7d-5p	9	8408.571429	2556.5	550.8571429	2998.5	2473.5	1749	4772.5	5085	5936	3272	99	5062	756.1666667	2177.166667	2630.404762	1400.142857	5798.166667	259.4285714	27.16666667	519
miR-138-5p	9	4	25	21	6	4	1	5	62	1	0	21	29	3	10	1	0	3	0	22	26
miR-5685-3p	9	42	32	6	17	3	10	3	21	14	31	2	12	5	25	22	49	32	10	3	10
miR-1238-5p	9	0	0	0	1	0	0	1	0	0	0	2	11	1	0	1	0	1	2	0	0
miR-1289-1-3p	9	0	6	2	7	1	2	2	1	15	5	9	6	5	2	0	0	5	3	0	8
miR-1290-3p	9	29.5	16	53.5	32.5	26	46	12.5	44.5	14.5	34	28	14	36.5	37.5	12.5	0.5	37.5	20	40	70.5
miR-500a-3p	9	1235	440	292.5	524	540.5	339	1467.5	1895.5	683.5	658	98	2185.5	328.5	496	243.5	163.5	486	232.5	23.5	266
miR-6852-3p	9	10	5	0	2	11	2	15	3	4	7	0	5	1	7	3	0	14	4	3	3
miR-4646-3p	9	5	3	9	3	11	4	16	5	12	10	3	8	0	1	3	1	2	0	0	0
miR-4533-3p	9	3	5	0	0	2	0	2	3	1	0	0	0	6	0	3	0	2	2	6	0
miR-934-5p	9	9	3	7	5	5	3	0	34	7	35	11	8	1	7	2	10	5	2	0	6
miR-23c-3p	9	13264	3480.5	636.5	3093	1145	1836	6416	7822.5	7991.5	4355	124	7398.5	929.5	3757.5	2401	1418	4216.5	249	45	173.5
miR-876-5p	9	6	2	9	5	0	0	5	26	0	11	7	21	11	3	0	7	2	10	5	4
miR-5572-3p	9	1	50	5	0	9	12	51	20	25	20	8	39	0	21	1	16	82	7	13	9
miR-758-5p	9	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0
miR-514a-1-3p	9	35	109	16	55	40	10	47	191	43	26	33	224	10	110	21	14	16	24	24	29
miR-5702-3p	9	0	1	0	0	0	1	4	0	0	0	1	0	1	2	2	0	2	0	0	0
miR-1229-5p	9	5	2	12	6	26	9	5	6	7	20	1	3	2	6	4	10	10	6	6	16
miR-4723-3p	9	4	12	8	5	9	3	9	9	8	3	2	15	3	11	7	4	23	7	0	7
miR-92b-3p	9	1220	1268.333333	132.3333333	1022.333333	332.3333333	327.6666667	1441	1124.666667	1067	762.3333333	32	865.3333333	533.6666667	456.6666667	253	358.3333333	929	47	17	46
miR-4717-3p	9	3	0	0	0	1	0	0	6	8	3	0	1	0	0	1	0	0	0	5	3
miR-199b-3p	9	4809	3314	495	1886	1275	1130	2665	10903	6463	3133	64	5957.5	350	2561	786	1057	7663	159	11	85
miR-7851-3p	9	30	14	27	9	0	49	42.5	11	14	36	39	29	9	17	15	37	18	14	14	18
miR-377-5p	9	12	11	17	7	1	6	8	44	7	2	15	7	1	8	3	9	18	3	12	6
miR-4469-5p	9	4	2	2	2	1	0	0	6	8	7	3	9	0	2	3	0	0	0	3	6
miR-376c-3p	9	155	135	30	74	41	73	168	495	354	148	28	255	33	176	21	7	357	20	6	14
miR-502-3p	8.5	611.5	224.5	126.5	362.5	180.5	132.5	867	788.5	426.5	387.5	16.5	970.5	100	156	119.5	109	334.5	74.5	2	47
miR-501-3p	8.5	331	133.5	176	124.5	96	134.5	272.5	282	182	153.5	21.5	393	49.5	112	86	56.5	184.5	58	6.5	41
miR-378h-5p	8.333333333	40.83333333	57	29.5	145.5	30.83333333	35.33333333	148	44.5	69	54.52380952	34.16666667	121.3333333	72.5	53	10	0	15	33	15.33333333	104
miR-7845-3p	8	0	4	4	0	21	0	8	2	5	2	0	16	1	1	1	16	7	5	5	1
miR-557-3p	8	136	76	11	100	48	13	435	169	86	44	28	283	57	92	24	52	42	28	4	13
miR-4422-3p	8	14	5	5	3	0	5	10	16	0	5	7	1	16	8	2	0	7	8	4	7
miR-10398-5p	8	3	1	0	4	4	1	3	7	0	4	2	4	2	0	0	0	2	2	0	6
miR-3612-5p	8	7	6	13	14	16	4	12	13	9	15	10	2	14	11	12	0	21	29	20	18
miR-1296-3p	8	3	8	0	14	0	1	3	6	0	0	2	18	3	3	2	8	0	3	5	2
miR-181a-3p	8	113	72	16	119	66	24	156	168	122	61	13	160	71	57	37	87	134	10	0	12
miR-129-1-5p	8	4	9	27	9	17	4	3	11	3	64	49	18	9	3	0	0	3	8	9	4
miR-92a-2-3p	8	369	106	13	189	213	69	451	240	396	192	14	208	44	81	75	193	193.5	21	3	15
miR-9899-3p	8	9	7.5	12	1	25	0	22	7.5	6.5	2	16	23	5	8	4	3	10	2.5	13	13.5
miR-6889-5p	8	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	1
miR-10394-5p	8	1	1	5	0	5	0	3	0	7	1	0	0	1	1	0	0	4	0	0	9
miR-9901-5p	8	14	14	21	14	42	21	24	10	6	27	28	11	4	20	12	1	35	14	18	21
miR-642b-3p	8	2	0	1	4	1	0	3	3	2	0	4	1	4	2	3	0	3	0	4	3
miR-4696-3p	8	3	1	0	0	0	1	0	0	0	1	0	8	0	0	0	0	5	0	0	4
miR-922-5p	8	5	6	8	8	6	1	8	13	7	17	15	4	4	10	4	3	5	5	1	1
miR-4690-5p	8	0	2	6	4	8	0	1	0	0	3	5	0	1	1	3	0	2	0	10	0
miR-326	8	59	46	35	132	66	56	81	156	140	138	49	123	65	61	25	26	48	50	6	18
miR-194-5p	8	12523	2817	250	2038	1007	1572	8842	2564	3988	3462	32	5045	212	1700	2294	726	1438	88	12	199
miR-744-3p	8	45	26	14	21	7	16	26	4	27	7	0	17	1	18	18	0	15	0	4	19
miR-518c-5p	8	4	3	12	2	0	0	4	1	10	0	17	1	1	3	0	0	3	6	8	4
miR-3184-3p	8	4	5	0	3	0	2	3	0	1	3	6	2	7	1	3	8	1	2	10	9
miR-6085-3p	8	0	3	0	7	7	1	7	1	1	1	10	3	3	1	5	22	3	4	6	2
miR-5588-5p	8	36	29	3	57	14	8	61	12	18	10	10	25	8	14	15	26	16	5	3	0
miR-24-2-5p	8	681	402	97.5	606	268	277.5	809	672	654	404	24	790.5	183	326	139	208	482	115	2	85
miR-1207-3p	8	5	4	1	0	0	0	0	0	1	0	0	0	0	1	1	0	5	3	0	0
miR-3665-3p	8	11	8	0	7	7	0	1	0	3	0	0	3	0	2	1	0	8	0	1	3
miR-4677-3p	8	19	9	1	14	0	2	32	26	27	3	9	11	5	7	1	0	20	0	4	5
miR-9718-3p	8	4	3	3	7	7	1	8	11	2	3	12	4	2	14	5	0	3	12	11	9
miR-3689d-2-3p	8	2	5	3	0	0	10	4	9	1	7	13	4	3	0	3	10	4	3	0	4
miR-6724-4-3p	8	2	13	7	14	2	5	9	10	8	10	1	4	6	12	13	0	5	9	25	21
miR-4728-3p	8	43	19	16	30	27	20	11	15	9	31	35	11	9	24	9	14	24	7	1	3
miR-4430-3p	8	37	20	49	53	34	34	39	44	33	49	114	24	17	21	19	35	45	7	8	28
miR-1185-1-3p	8	5	2	4	0	1	0	0	13	9	1	0	2	2	2	0	0	21	0	0	4
miR-3713-3p	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-10401-5p	8	3	1	9	2	12	1	2	1	1	0	0	2	0	3	0	0	10	8	1	1
miR-5691-5p	8	54	72	26	92	32	9	84	88	34	185	1	39	22	78	18	53	60	56	9	51
miR-12116-5p	8	8	5	9	1	11	2	7	5	2	8	10	15	4	10	7	27	2	0.5	40	16
miR-375-5p	8	25	30	19	6	23	6	52	19	25	12	20	41	28	30	7	11	20	10	15	26
miR-187-3p	8	20	35	22	32	18	35	62	93	54	14	6	71	10	33	30	0	30	21	0	31
miR-4695-3p	8	605	474	102	365	280	178	576	294	388	262	9	394	152	275	216	253	301	56	6	116
miR-142-3p	7	4683	1367	654	4073	2430	3270	4815	12545	2837	1823	165	3608	1158	3399	814	657	5237	343	45	368
miR-4508-3p	7	0	1	8	0	0	5	1	1	0	4	10	1	0	1	1	0	4	0	0	0
miR-4669-3p	7	10	2	5	3	0	3.5	1	0	8	0	25	0	6	8	6	0	2	3	17	4.5
miR-1233-2-5p	7	32	12	2	6	0	5	10	26	5	6	8	17	4	7	7	37	22	3	4	5
miR-520e-3p	7	10	5	4	14	10	1	9	13	4	10.5	0	9.333333333	4	6	1	2	7	1	5	0
miR-7973-1-3p	7	4	1	4	4	11	3	11	1	7	6	5	4	5	5	1	0	5	0	0	1
miR-590-3p	7	1007	251	19	479	128	178	873	477	583	440	0	322	47	219	170	154	293	6	3	12
miR-30e-3p	7	5474.5	2054	460.5	2569	837	1111.5	4589.5	3858	3076.5	2320	100	3882.5	478	1722.5	1163	1276	1580	148	31.5	221.5
miR-4432-5p	7	0	2	0	0	0	0	0	3	6	5	0	1	0	0	1	8	0	3	0	0
miR-4768-3p	7	4	2	0	13	0	6	0	0	11	7	3	5	4	0	0	0	2	4	0	0
miR-200a-3p	7	13678	5680.5	1141	8293.5	1418	1646	8137	7898.5	5655	6639.5	148.5	8039	1056	4298.5	1774	873.5	1478	506.5	45	236
miR-6813-5p	7	0	0	2	0	0	2	0	0	3	0	10	0	0	0	0	0	3	0	0	0
miR-3190-3p	7	6	1	12	11	0	1	1	18	1	2	0	8	6	2	0	0	8	8	2	1
miR-5000-3p	7	2	2	3	5	1	0	2	0	0	2	12	0	1	1	9	0	6	2	0	2
miR-3194-5p	7	132	86	96	47	86	56	67	77	49	104	30	100	38	88	61	55	119	37	25	53
miR-1273h-3p	7	10	3	5	15	3	9	4	6	14	13	39	9	10	5	5	18	17	14	14	5
miR-504-3p	7	1	3	0	0	0	0	2	0	0	1	0	1	0	1	0	0	3	0	0	0
miR-4657-5p	7	3	4	1	5	0	0	8	0	1	0	7	1	3	4	0	0	1	0	1	0
miR-6791-3p	7	4	7	10	13	14	28	21	13	16	20	13	14	8	6	8	13	13	6	11	22
miR-602-5p	7	9	4	9	1	0	1	8	3	2	5	2	11	1	6	10	1	6	1	9	3
miR-3183-3p	7	21	8	22	3	18	10	23	24	6	20	21	11	5	18	17	36	38	15	25	29
miR-12122-5p	7	0	0	2	0	1	0	4	6	1	0	1	1	0	0	0	1	1	1	2	0
miR-330-5p	7	88	66.5	31	132	108	53	121	139	84	58	42	132	44	37	26	16	65	24	6	29
miR-4261-5p	7	1	1	6	1	0	0	0	2	1	0	0	1	2	0	2	0	0	1	1	4
miR-6500-3p	7	75	20	19	25	49	28	78	43	87	72	38	46	39	32	33	26	22	36	13	19
miR-762-3p	7	15	7	0	24	5	0	5	6	7	10	46	8	14	0	7	8	3	8	12	23
miR-4655-3p	7	8	8	10	13	46	14	5	9	3	3	13	7	15	10	5	21	11	13	20	10
miR-3074-5p	7	16	5	23	13	10	6	15	13	22	9	0	7	5	5	3	0	4	2	2	9
miR-6827-3p	7	38	23	18	34	55	9	35	26	43	33	23	30	33	13	21	23	16	22	7	8
miR-3141-5p	7	5	1	0	0	0	0	1	6	0	9	0	5	7	5	2	0	4	1	6	0
miR-6861-3p	7	4	2	5	4	6	6	8	4	2	6	9	9	3	8	2	1	7	3	2	10
miR-1302-5-3p	7	6	2	0	0	0	5	0	4	0	0	0	0	1	1	0	0	4	0	5	0
miR-124-3-5p	6	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0
miR-1469-3p	6	0	0	0	2	7	2	2	0	1	1	0	0	5	4	4	9	0	0	4	0
miR-4297-5p	6	20	13	24	3	6	0	4	6	11	7	5	12	5	10	5	7	6	19	46	13
miR-5187-3p	6	2	0	0	6	5	5	2	0	3	0	4	1	1	0	0	0	1	0	0	0
miR-4524a-5p	6	2	2	10	0	3	0	4	0	8	1	14	4	3	3	0	4	2	1	7	1
miR-4285-5p	6	1	2	3	1	3	0	0	7	0	0	0	5	8	11	3	0	1	9	1	7
miR-30c-5p	6	10502	5600	714	4877	962	2043	10235	8638	10826	4769	94	8557	597	3564	2835	1761	3502	203	25	163
miR-375-3p	6	77	63	64	16	56	115	28	272	12	19	77	225	13	68	7	0	10	50	1	70
miR-3162-5p	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0
miR-3116-2-3p	6	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
miR-5787-5p	6	6	7	5	13	12	3	2	4	3	14	0	5	11	11	8	0	7	15	15	22
miR-6894-3p	6	1	11	0	7	3	2	2	11	2	7	0	4	7	0	1	5	10	2	1	5
miR-4433a-5p	6	15	10	2	1	14	16	9	15	3	6	6	3	3	0	3	4	10	3	0	7
